open,high,low,close,volume,timestamp
154.80,154.82,154.51,154.55,10.719,1723340100000
154.70,154.95,154.59,154.91,4.32,1723340400000
154.92,154.98,154.55,154.98,12.958,1723340700000
154.89,155.13,154.88,155.09,17.545,1723341000000
155.16,155.37,155.09,155.28,34.885,1723341300000
155.27,155.31,154.94,155.13,19.183,1723341600000
155.13,155.55,155.13,155.24,76.496,1723341900000
155.25,155.38,155.00,155.26,81.459,1723342200000
155.29,155.31,154.92,154.92,23.898,1723342500000
154.97,155.12,154.85,154.89,27.337,1723342800000
154.89,154.94,154.83,154.92,7.099,1723343100000
154.99,155.09,154.82,154.85,4.562,1723343400000
154.85,154.85,154.60,154.70,15.326,1723343700000
154.72,155.00,154.72,154.80,22.373,1723344000000
154.81,155.03,154.77,154.94,20.44,1723344300000
154.96,154.96,154.67,154.72,156.694,1723344600000
154.70,154.98,154.70,154.86,25.143,1723344900000
154.88,155.26,154.85,155.26,10.78,1723345200000
155.27,155.49,155.26,155.42,14.823,1723345500000
155.41,155.55,155.33,155.49,15.683,1723345800000
155.52,156.00,155.51,155.93,29.839,1723346100000
155.97,156.91,155.97,156.61,379.457,1723346400000
156.86,157.05,156.47,156.77,90.389,1723346700000
156.72,156.87,156.50,156.54,64.312,1723347000000
156.61,156.78,156.40,156.61,18.315,1723347300000
156.59,156.59,156.44,156.48,43.128,1723347600000
156.44,156.54,155.80,155.91,274.405,1723347900000
155.85,155.96,155.60,155.85,50.848,1723348200000
155.86,155.93,155.68,155.73,19.848,1723348500000
155.75,156.04,155.67,155.67,26.514,1723348800000
155.65,155.84,155.65,155.80,28.942,1723349100000
155.81,155.83,155.13,155.17,104.246,1723349400000
155.14,155.45,154.99,155.11,47.836,1723349700000
155.12,155.23,155.02,155.23,31.366,1723350000000
155.33,155.58,155.33,155.57,19.948,1723350300000
155.61,155.91,155.47,155.61,100.363,1723350600000
155.55,155.57,155.08,155.29,42.032,1723350900000
155.27,155.27,154.97,155.07,12.044,1723351200000
155.02,155.11,154.88,154.93,34.066,1723351500000
154.98,155.31,154.98,155.15,31.133,1723351800000
155.11,155.14,154.98,155.06,10.735,1723352100000
155.02,155.37,154.93,155.29,22.188,1723352400000
155.27,155.43,155.17,155.20,15.142,1723352700000
155.15,155.25,155.03,155.07,18.098,1723353000000
155.07,155.18,154.89,154.95,15.091,1723353300000
155.02,155.18,155.00,155.18,7.261,1723353600000
155.16,155.24,155.13,155.21,67.662,1723353900000
155.20,155.24,154.95,154.97,13.491,1723354200000
154.98,155.17,154.89,155.12,12.68,1723354500000
155.14,155.23,155.13,155.17,10.08,1723354800000
155.19,155.54,155.19,155.50,27.66,1723355100000
155.55,155.78,155.53,155.61,22.394,1723355400000
155.62,155.90,155.56,155.60,28.527,1723355700000
155.62,155.90,155.37,155.40,30.534,1723356000000
155.50,155.62,155.28,155.46,34.653,1723356300000
155.47,155.75,155.47,155.63,61.171,1723356600000
155.57,155.58,155.36,155.49,6.266,1723356900000
155.50,155.60,155.40,155.41,7.379,1723357200000
155.40,155.55,155.28,155.34,16.925,1723357500000
155.41,155.54,155.15,155.54,9.507,1723357800000
155.56,155.82,155.47,155.68,8.296,1723358100000
155.58,155.82,155.58,155.73,11.036,1723358400000
155.77,155.77,155.54,155.66,10.257,1723358700000
155.60,155.77,155.50,155.67,30.991,1723359000000
155.66,155.74,155.50,155.61,13.539,1723359300000
155.62,155.86,155.60,155.80,11.352,1723359600000
155.73,155.94,155.71,155.94,10.653,1723359900000
155.94,156.22,155.89,156.15,228.997,1723360200000
156.14,156.27,155.95,155.97,32.819,1723360500000
156.01,156.13,155.93,155.95,28.899,1723360800000
155.95,156.16,155.91,155.96,22.305,1723361100000
155.98,156.23,155.90,156.20,6.544,1723361400000
156.23,156.59,156.22,156.51,19.146,1723361700000
156.51,156.66,156.39,156.42,8.826,1723362000000
156.43,156.84,156.23,156.79,53.913,1723362300000
156.84,156.86,156.66,156.69,23.933,1723362600000
156.70,156.82,156.60,156.71,19.429,1723362900000
156.75,156.90,156.70,156.75,30.976,1723363200000
156.71,156.78,156.40,156.57,237.603,1723363500000
156.56,156.60,156.31,156.45,62.791,1723363800000
156.48,156.98,156.48,156.77,21.802,1723364100000
156.77,156.99,156.63,156.72,75.838,1723364400000
156.74,156.91,156.50,156.51,47.039,1723364700000
156.56,156.81,156.42,156.48,32.12,1723365000000
156.48,156.64,156.39,156.52,57.244,1723365300000
156.52,156.95,156.52,156.86,125.229,1723365600000
156.86,157.21,156.86,157.04,203.18,1723365900000
157.06,157.19,156.86,156.86,17.637,1723366200000
